

Model                 ,RMSE               ,MAE                 ,fold
Historical data value ,18.47713565227309  ,10.469442279861962  , 1.0
Mean timestep value   ,11.75607898358604  , 6.740927400421777  , 1.0
Historical data value ,19.583649155871573 ,11.01636424357119   , 2.0
Mean timestep value   ,11.38209838569304  , 6.5196124490225245 , 2.0
Historical data value ,22.51671796798904  ,12.750084392933498  , 3.0
Mean timestep value   ,14.597214493242978 , 8.256219153507919  , 3.0
Historical data value ,25.042870859656645 ,14.007764149881849  , 4.0
Mean timestep value   ,17.796061617575525 , 9.990221159284927  , 4.0
Historical data value ,24.522724458207254 ,14.147856419489141  , 5.0
Mean timestep value   ,16.556326084353838 , 9.50128300399176   , 5.0
Historical data value ,23.47261499655801  ,13.401597839540903  , 6.0
Mean timestep value   ,17.69091825560802  ,10.079985215048298  , 6.0
Historical data value ,20.708237530246073 ,11.611567458084844  , 7.0
Mean timestep value   ,15.744634345742401 , 9.1421514459098    , 7.0
Historical data value ,21.368011039944353 ,11.970722475787598  , 8.0
Mean timestep value   ,12.699707439132798 , 7.005404873819571  , 8.0
Historical data value ,23.175686771249907 ,13.171935235158058  , 9.0
Mean timestep value   ,11.5474025016778   , 6.3163211031583995 , 9.0
Historical data value ,21.931917424450297 ,12.43738044334421   ,10.0
Mean timestep value   ,13.102029455707562 , 7.518593748197887  ,10.0
MTV_mean              ,14.287247156231999 , 8.107071955236286  ,  
HDV_mean              ,22.079956585644624 ,12.498471493765326  ,  


